"Індекси споживчих цін на товари та послуги
Consumer price indices for goods and services",,,,,,,,,,,,,,,,
"(до грудня 2010 року/
to December 2010)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"(відсотків/
percent)                         ",
,,"Індекс споживчих цін/
Consumer price indices","Продукти харчування та безалкогольні напої/
Food and non-alcoholic beverages","Алкогольні напої, тютюнові вироби/
Alcoholic beverages, tobacco","Одяг і взуття/
Clothing and footwear","Житло, вода, електроенергія, газ та інші види палива/
Housing, water, electricity, gas and other fuels","Предмети домашнього вжитку, побутова техніка та поточне утримання житла/
Furnishings, household equipment and routine maintenance of the house","Охорона здоров'я/
Health","Транспорт/
Transport","Зв'язок/
Communi-cation","Відпочинок і культура/
Recreation and culture","Освіта/
Education","Ресторани та готелі/
Restaurants and hotels","Різні товари та послуги/
Miscellaneous goods and services",,
2008,Лютий,70.5,70.9,49.3,87.0,64.8,75.4,64.4,67.5,100.1,75.8,62.1,69.3,62.7,February,
2008,Березень,73.2,74.9,50.4,87.2,65.4,76.1,65.4,70.1,100.0,76.9,62.5,72.0,64.1,March,
2008,Квітень,75.5,78.8,51.2,87.6,63.9,76.7,67.0,71.8,100.1,77.5,63.1,74.7,65.2,April,
2008,Травень,76.4,80.3,51.8,87.8,63.4,77.1,68.2,73.2,100.1,77.9,63.3,76.9,66.1,May,
2008,Червень,77.1,80.8,52.3,87.8,64.7,77.6,68.9,74.9,100.1,78.1,63.6,78.4,67.5,June,
2008,Липень,76.7,79.7,52.7,87.8,65.3,78.0,69.4,76.5,100.1,78.5,64.0,79.5,68.6,July,
2008,Серпень,76.6,79.3,53.1,87.7,65.6,78.4,69.8,77.5,100.0,78.8,64.2,80.4,69.6,August,
2008,Вересень,77.4,79.6,54.2,87.9,68.1,79.0,70.5,76.6,99.9,79.5,77.8,81.4,70.9,September,
2008,Жовтень,78.8,80.5,56.6,88.6,71.1,80.2,71.5,77.4,104.5,80.3,78.2,82.4,72.4,October,
2008,Листопад,79.9,80.6,58.1,89.7,75.5,82.6,72.4,78.8,104.7,82.9,78.5,83.6,74.2,November,
